,sample,PPIEL,SLFNL1-AS1,SNORA55,OXCT2P1,SLCO4A1-AS1,TMEM92-AS1,FLJ46284,FLJ40194,C8orf87,CCDC26,ASAP1-IT2,GNAS-AS1,FAM83A-AS1,PVT1,PCAT1,CCAT2,PCAT2,CASC8,CASC21,CCAT1,CASC19,FER1L6-AS1,CASC11,FER1L6-AS2,RNF139-AS1,PRNCR1,ADNP-AS1,SNORA72,ZFPM2-AS1,SAMD12-AS1,OTUD6B-AS1,ZBTB46-AS1,UCKL1-AS1,HAS2-AS1,TESC-AS1,LSINCT5,RAD21-AS1,PPP4R1L,C20orf197,SNORD95,CTD-3080P12.3,SNORD96A,CTD-2194D22.4,SDHAP3,PTCSC3,SRP54-AS1,IGBP1P1,NKX2-1-AS1,RDH10-AS1,STAU2-AS1,SNHG6,SNORD87,ZFAT-AS1,NCRNA00250,ELDR,EGFR-AS1,VSTM2A-OT1,EEF1DP3,TEX26-AS1,OTX2-AS1,HNF1A-AS1,CLIP1-AS1,MUC19,MRGPRF-AS1,GUCY2EP,SNORD15B,KCTD21-AS1,SNORD15A,SDHAP1,SDHAP2,TM4SF19-AS1,TNK2-AS1,UBXN7-AS1,PRR7-AS1,MORC1-AS1,SNORD13,CLRN1-AS1,SDCBP2-AS1,SIRPG-AS1,SIRPB3P,ST7-OT4,ST7-AS2,ST7-AS1,DLX6-AS1,TM4SF1-AS1,WWTR1-AS1,HLTF-AS1,SBF1P1,RNU105C,MSC-AS1,MATN1-AS1,NNT-AS1,HPYR1,RNF5P1,HSD52,KCNK15-AS1,STK4-AS1,HOXB-AS3,HOXB-AS1,NKILA,SUMO1P1,MSX2P1,TBC1D3P1-DHX40P1,SCARNA20,CACNA1G-AS1,TOB1-AS1,WFDC21P,SNORD124,AMZ2P1,CEBPB-AS1,TRERNA1,BMP7-AS1,SNORA21,LRRC37A11P,YWHAEP7,FRMD6-AS2,C12orf77,RPSAP52,EMBP1,SHANK2-AS1,CASC15,NBAT1,BCAR4,CASP1P2,CASP12,NCAM1-AS1,FLJ31104,RNF138P1,ADGRL3-AS1,PYY2,PPY2P,SCARNA12,FAM66C,C1RL-AS1,FAM86FP,DSTNP2,POU5F1P3,RNU7-1,YTHDF3-AS1,SCARNA10,CD27-AS1,SCARNA11,CCND2-AS1,ARNTL2-AS1,POM121L8P,FAM230B,TMEM191C,BCRP2,PI4KAP2,RASSF8-AS1,FLJ12825,HOXC-AS2,HOXC-AS1,HOXC-AS3,SNRPD2P2,SUMO1P3,FLJ42102,DISC1FP1,SCARNA22,ZNF876P,WTAPP1,DOC2GP,C11orf72,SCARNA16,SNHG20,SRGAP3-AS3,FGD5P1,EMC3-AS1,ATP2B2-IT2,THUMPD3-AS1,PRRT3-AS1,SRGAP3-AS2,SLC6A1-AS1,GHRLOS,SNORA7A,SRGAP3-AS4,HDAC11-AS1,FEZF1-AS1,ADAM3A,ADAM5,CTD-2350J17.1,FAM86C2P,DIO2-AS1,MORF4L2-AS1,FLJ22447,PSMA3-AS1,SALRNA1,HIF1A-AS2,SLC25A21-AS1,HIF1A-AS1,PCAT5
NCIH1836_LUNG_amplicon2_cycle1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCIH1836_LUNG_amplicon2_cycle25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC1419_BREAST_amplicon1_cycle126,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC1419_BREAST_amplicon1_cycle6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC1419_BREAST_amplicon1_cycle116,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC1419_BREAST_amplicon1_cycle9,0,0,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC1419_BREAST_amplicon1_cycle19,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC1419_BREAST_amplicon1_cycle10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC1419_BREAST_amplicon1_cycle44,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCC1419_BREAST_amplicon1_cycle29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
